support,itemsets,group,itemset_len
0.11141950832672483,{'funny_user', 'fans', 'compliment_more', 'compliment_writer', 'compliment_plain', 'rev-age'},helpful,6
0.10824742268041238,{'compliment_note', 'funny_user', 'fans', 'compliment_hot', 'rev-age', 'cool_user'},helpful,6
0.10864393338620143,{'compliment_note', 'useful_user', 'fans', 'compliment_writer', 'compliment_hot', 'rev-age'},helpful,6
0.10904044409199048,{'compliment_note', 'useful_user', 'fans', 'rev-age', 'compliment_hot', 'compliment_funny'},helpful,6
0.10904044409199048,{'compliment_note', 'useful_user', 'fans', 'compliment_cool', 'compliment_hot', 'rev-age'},helpful,6
0.10904044409199048,{'compliment_note', 'useful_user', 'fans', 'compliment_hot', 'rev-age', 'cool_user'},helpful,6
0.10943695479777954,{'compliment_note', 'useful_user', 'fans', 'compliment_hot', 'compliment_plain', 'rev-age'},helpful,6
0.10864393338620143,{'compliment_note', 'fans', 'compliment_writer', 'compliment_hot', 'rev-age', 'cool_user'},helpful,6
0.10904044409199048,{'compliment_note', 'fans', 'rev-age', 'compliment_writer', 'compliment_hot', 'compliment_funny'},helpful,6
0.10904044409199048,{'compliment_note', 'fans', 'compliment_writer', 'compliment_cool', 'compliment_hot', 'rev-age'},helpful,6
0.10904044409199048,{'compliment_note', 'fans', 'compliment_writer', 'compliment_hot', 'compliment_plain', 'rev-age'},helpful,6
0.10943695479777954,{'compliment_note', 'fans', 'rev-age', 'compliment_hot', 'compliment_funny', 'cool_user'},helpful,6
0.10943695479777954,{'compliment_note', 'fans', 'compliment_cool', 'compliment_hot', 'rev-age', 'cool_user'},helpful,6
0.1098334655035686,{'compliment_note', 'fans', 'compliment_hot', 'compliment_plain', 'rev-age', 'cool_user'},helpful,6
0.11022997620935765,{'compliment_note', 'fans', 'rev-age', 'compliment_hot', 'compliment_plain', 'compliment_funny'},helpful,6
0.11022997620935765,{'compliment_note', 'fans', 'compliment_cool', 'compliment_hot', 'compliment_plain', 'rev-age'},helpful,6
0.11102299762093576,{'compliment_note', 'fans', 'rev-age', 'compliment_cool', 'compliment_hot', 'compliment_funny'},helpful,6
0.10864393338620143,{'compliment_note', 'funny_user', 'fans', 'compliment_hot', 'compliment_plain', 'rev-age'},helpful,6
0.10824742268041238,{'compliment_note', 'funny_user', 'fans', 'compliment_cool', 'compliment_hot', 'rev-age'},helpful,6
0.11102299762093576,{'compliment_note', 'funny_user', 'fans', 'compliment_writer', 'compliment_cool', 'rev-age'},helpful,6
0.10824742268041238,{'compliment_note', 'funny_user', 'fans', 'rev-age', 'compliment_hot', 'compliment_funny'},helpful,6
0.1098334655035686,{'compliment_note', 'compliment_more', 'compliment_writer', 'compliment_cool', 'compliment_plain', 'rev-age'},helpful,6
